,query,id,text,author_id,conversation_id,entities,geo,lang,referenced_tweets
705,energia infraestrutura,1535667677330554883,"#iNFRATransporte | O último ato: Um perfil do mandato de Tarcísio de Freitas no @MInfraestrutura. Saiba mais em: 📸: Ricardo Botelho/Minfra

#AgênciaiNFRA #iNFRATransporte #Transporte #iNFRAEnergia #Energia #Infraestrutura #Brasil https://t.co/5ir1Zgrk5f",815615313307959296,1535667677330554883,"{'mentions': [{'start': 80, 'end': 96, 'username': 'MInfraestrutura', 'id': '523331076'}], 'urls': [{'start': 230, 'end': 253, 'url': 'https://t.co/5ir1Zgrk5f', 'expanded_url': 'https://twitter.com/agencia_infra/status/1535667677330554883/photo/1', 'display_url': 'pic.twitter.com/5ir1Zgrk5f', 'media_key': '3_1534937986709741573'}], 'annotations': [{'start': 57, 'end': 75, 'probability': 0.9721, 'type': 'Person', 'normalized_text': 'Tarcísio de Freitas'}, {'start': 117, 'end': 131, 'probability': 0.9821, 'type': 'Person', 'normalized_text': 'Ricardo Botelho'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'iNFRATransporte'}, {'start': 140, 'end': 153, 'tag': 'AgênciaiNFRA'}, {'start': 154, 'end': 170, 'tag': 'iNFRATransporte'}, {'start': 171, 'end': 182, 'tag': 'Transporte'}, {'start': 183, 'end': 196, 'tag': 'iNFRAEnergia'}, {'start': 197, 'end': 205, 'tag': 'Energia'}, {'start': 206, 'end': 221, 'tag': 'Infraestrutura'}, {'start': 222, 'end': 229, 'tag': 'Brasil'}]}",,pt,
706,energia infraestrutura,1535627135884443650,"Não há desenvolvimento sem Estado forte investindo, sem infraestrutura, sem energia barata, sem juros baratos, sem salários adequados, sem mercado interno comprador, sem indústria produzindo em reais o que se compra em dólar.",1216448532212867074,1535625575058087938,,,pt,[<ReferencedTweet id=1535626344175910912 type=replied_to]
707,energia infraestrutura,1535625342190223362,@Nandinh14501643 A Índia tem mais gente mas um problema sério de infraestrutura kkkkk. O Brasil vejo com mais chances do que Índia. Inclusive de trazer os próprios indianos para trabalhar com tech aqui. Tem uma infraestrutura de estradas e energia melhor distribuída do que a Índia.,1483763620500672517,1533670504032260098,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Nandinh14501643', 'id': '1413282983587504130'}], 'annotations': [{'start': 19, 'end': 23, 'probability': 0.9071, 'type': 'Place', 'normalized_text': 'Índia'}, {'start': 89, 'end': 94, 'probability': 0.9907, 'type': 'Place', 'normalized_text': 'Brasil'}, {'start': 125, 'end': 129, 'probability': 0.8879, 'type': 'Place', 'normalized_text': 'Índia'}, {'start': 276, 'end': 280, 'probability': 0.7583, 'type': 'Place', 'normalized_text': 'Índia'}]}",{'place_id': '68e019afec7d0ba5'},pt,[<ReferencedTweet id=1535624505170841600 type=replied_to]
708,energia infraestrutura,1535614303633539072,"@CarlosS24289452 @reinaldoazevedo E será assim com todas as empresas de infraestrutura, energia, telecomunicação e aeroviário. Todas mandando divisas para deus respectivos países, principalmente para China.",1231214486029242368,1534005103560118273,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CarlosS24289452', 'id': '1295508211827724288'}, {'start': 17, 'end': 33, 'username': 'reinaldoazevedo', 'id': '18286139'}], 'annotations': [{'start': 200, 'end': 204, 'probability': 0.9113, 'type': 'Place', 'normalized_text': 'China'}]}",,pt,[<ReferencedTweet id=1534616778361413632 type=replied_to]
709,energia infraestrutura,1535570143752896513,"O próximo episódio do Gestão com Identidade navega pela indústria de Óleo, Gás e Energia e revela os impactos da gestão com foco em resultados na Vast Infraestrutura, em parceria com o Aquila.

▶ Assista na Band TV ou no YouTube: https://t.co/lZDQAK0EA5💡 https://t.co/AYdPYx7srE",415686499,1535570143752896513,"{'urls': [{'start': 230, 'end': 253, 'url': 'https://t.co/lZDQAK0EA5', 'expanded_url': 'https://youtu.be/WakYm3Kr1FI', 'display_url': 'youtu.be/WakYm3Kr1FI'}, {'start': 255, 'end': 278, 'url': 'https://t.co/AYdPYx7srE', 'expanded_url': 'https://twitter.com/aquilaoficial_/status/1535570143752896513/video/1', 'display_url': 'pic.twitter.com/AYdPYx7srE', 'media_key': '7_1535570083334041600'}], 'annotations': [{'start': 221, 'end': 227, 'probability': 0.6056, 'type': 'Product', 'normalized_text': 'YouTube'}]}",,pt,
710,energia infraestrutura,1535456928951898115,Musk revela próxima fase do Plano Mestre da Tesla: “mudar toda a infraestrutura de energia terrestre” - Olhar Digital https://t.co/fKiq1ZOpMW,2638351808,1535456928951898115,"{'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/fKiq1ZOpMW', 'expanded_url': 'https://olhardigital.com.br/2022/06/09/carros-e-tecnologia/musk-revela-proxima-fase-do-plano-mestre-da-tesla-mudar-toda-a-infraestrutura-de-energia-terrestre/', 'display_url': 'olhardigital.com.br/2022/06/09/car…'}], 'annotations': [{'start': 0, 'end': 3, 'probability': 0.6461, 'type': 'Person', 'normalized_text': 'Musk'}, {'start': 44, 'end': 48, 'probability': 0.6323, 'type': 'Organization', 'normalized_text': 'Tesla'}]}",,pt,
711,energia infraestrutura,1535444567142674433,"@lucasbison Eu perdendo finais da NBA aqui, essa energia tá caindo mais do que o normal ultimamente.. E demora para voltar ainda, tão de palhaçada essa infraestrutura de Araras City",66424977,1535443514921828352,"{'mentions': [{'start': 0, 'end': 11, 'username': 'lucasbison', 'id': '116932398'}], 'annotations': [{'start': 34, 'end': 36, 'probability': 0.9508, 'type': 'Organization', 'normalized_text': 'NBA'}, {'start': 170, 'end': 180, 'probability': 0.6307, 'type': 'Place', 'normalized_text': 'Araras City'}]}",,pt,[<ReferencedTweet id=1535443514921828352 type=replied_to]
712,energia infraestrutura,1535426588485066758,"Indústria defende infraestrutura e menos impostos para baratear alimentos

Segundo Associação Brasileira da Indústria de Alimentos (Abia), as matérias-primas, embalagens e energia representam 60% do custo de produção
https://t.co/2uRcL79Ro3 https://t.co/WIQgnyzKSr",67150902,1535426588485066758,"{'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/2uRcL79Ro3', 'expanded_url': 'https://bit.ly/3xHEtU2', 'display_url': 'bit.ly/3xHEtU2'}, {'start': 241, 'end': 264, 'url': 'https://t.co/WIQgnyzKSr', 'expanded_url': 'https://twitter.com/correio/status/1535426588485066758/photo/1', 'display_url': 'pic.twitter.com/WIQgnyzKSr', 'media_key': '3_1535423423366807553'}]}",,pt,
713,energia infraestrutura,1535389220159766530,"@valuationfstyle Mano, em qual mundo esse povo vive? Alguém realmente sabe como funciona uma infraestrutura com todos os seus custos de manutenção e expansão e, de distribuição de energia, ou são só palpiteiros esperando uma oportunidade de lacrar e entrar nos tt's?",1034504923151572992,1535317072812679169,"{'mentions': [{'start': 0, 'end': 16, 'username': 'valuationfstyle', 'id': '1424461780449906692'}]}",,pt,[<ReferencedTweet id=1535317072812679169 type=replied_to]
714,energia infraestrutura,1535353122754813952,"Musk revela próxima fase do Plano Mestre da Tesla: ""mudar toda a infraestrutura de energia terrestre""

https://t.co/Wrgw2ueRWj https://t.co/Xk5D51WAjd",40384615,1535353122754813952,"{'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/Wrgw2ueRWj', 'expanded_url': 'https://www.clicksergipe.com.br/tecnologia/5/76080/musk-revela-proxima-fase-do-plano-mestre-da-tesla-quotmudar-toda-a-infraestrutura-de-energia-terrestrequot.html', 'display_url': 'clicksergipe.com.br/tecnologia/5/7…'}, {'start': 127, 'end': 150, 'url': 'https://t.co/Xk5D51WAjd', 'expanded_url': 'https://twitter.com/clicksergipe/status/1535353122754813952/photo/1', 'display_url': 'pic.twitter.com/Xk5D51WAjd', 'media_key': '3_1535353115284750336'}], 'annotations': [{'start': 0, 'end': 3, 'probability': 0.6088, 'type': 'Person', 'normalized_text': 'Musk'}, {'start': 44, 'end': 48, 'probability': 0.6195, 'type': 'Organization', 'normalized_text': 'Tesla'}]}",,pt,
